Id,Name,Industry,BillingCity,BillingState,AccountSource,Owner,LastModifiedDate,_ingested_at
00100014kgi53vh8la,Mendoza PLC Group,Retail,Gomezfort,NJ,Web,Hunter Mccoy,2026-07-21T12:19:11.000+0000,2026-07-22T06:15:00Z
00100015caas1xg1zv,Thompson Little and Roy Holdings,Healthcare,Lake Patricia,CO,Cold Call,Jason Murray,2025-09-21T06:28:04.000+0000,2026-07-22T06:15:00Z
00100016nuum34l0bd,Green-Fernandez LLC,Construction,Barryfort,NC,Web,Yesenia Graham,2025-08-25T05:15:16.000+0000,2026-07-22T06:15:00Z
00100017og9vbfaqkq,Watkins-Hess Holdings,Wholesale,East Arthur,TX,Partner,Brent Travis,2026-01-30T14:39:46.000+0000,2026-07-22T06:15:00Z
00100018m01b2uv93s,Gutierrez-Gonzalez Inc.,Retail,Wrightport,OR,Trade Show,Lisa Ruiz,2026-04-18T20:56:20.000+0000,2026-07-22T06:15:00Z
00100019egu0t8irxg,Parker Nelson and Matthews Corp.,Healthcare,West Kimberly,FL,Referral,Jennifer Hess,2025-10-01T05:35:04.000+0000,2026-07-22T06:15:00Z
00100020ug77rtcl39,Manning-Gonzales LLC,Healthcare,Taylorton,KS,Referral,Shelley Washington,2025-09-18T23:19:22.000+0000,2026-07-22T06:15:00Z
00100022bsdxs2pgff,Johnston-Bishop Inc.,Utilities,East Stephen,MD,Web,Stephanie Poole,2025-11-16T10:26:39.000+0000,2026-07-22T06:15:00Z
00100024gwm8tcdqbm,Chase LLC & Sons,Manufacturing,Nicholsland,MI,Partner,Jason Jensen,2025-05-24T17:03:51.000+0000,2026-07-22T06:15:00Z
00100025bjhng8ad1y,King-Greene Holdings,Construction,Lake Shellybury,NC,Partner,Melissa Buchanan,2025-06-27T06:07:42.000+0000,2026-07-22T06:15:00Z
00100026d946wqryo3,Jones-Martinez Ltd.,Wholesale,Lisaport,VT,Cold Call,Craig King,2025-10-31T04:59:16.000+0000,2026-07-22T06:15:00Z
001000275ru663jcpw,Foster-Butler Corp.,Education,Patriciaborough,NY,Referral,Brett Miller,2025-10-23T15:27:48.000+0000,2026-07-22T06:15:00Z
00100028tohjsrdcoo,Thomas-Johnson & Sons,Transportation,North Deannamouth,WY,Cold Call,Thomas Russell,2025-08-15T04:11:56.000+0000,2026-07-22T06:15:00Z
00100029isr64nytgv,Hawkins Wilson and Miller & Sons,Manufacturing,Langville,ME,Web,Adam Spencer,2025-09-02T07:05:45.000+0000,2026-07-22T06:15:00Z
00100030l5yon1jtzh,Jennings-Jacobs Group,Retail,New Robertton,WA,Web,April Meza,2026-04-10T21:50:57.000+0000,2026-07-22T06:15:00Z
001000319ai0klz9sf,Duncan Group LLC,Education,Nguyenville,ME,Partner,John Rivera,2025-08-24T01:18:17.000+0000,2026-07-22T06:15:00Z
0010003346ii43s398,Tate Ltd LLC,Utilities,Lawrenceshire,CT,Referral,Sandy Scott,2025-01-27T13:13:08.000+0000,2026-07-22T06:15:00Z
00100035k54yci6w94,Clark Inc Holdings,Wholesale,South Martin,AL,Partner,Julia Berry,2026-04-13T23:59:57.000+0000,2026-07-22T06:15:00Z
00100036s90tkk0cc2,Phillips Bolton and Webb Ltd.,Utilities,North Williamhaven,TN,Trade Show,Karen Warren,2025-12-28T00:41:02.000+0000,2026-07-22T06:15:00Z
001000370wf840jgxe,Wolfe Ltd Holdings,Education,Lake Rileyville,MN,Referral,Virginia Smith,2026-06-10T18:53:40.000+0000,2026-07-22T06:15:00Z
00100038m9bub9w5xs,Elliott-Cunningham Inc.,Manufacturing,Nathanview,MD,Referral,Diana Morris,2025-05-20T07:16:44.000+0000,2026-07-22T06:15:00Z
001000392tcpjepbvy,Rodgers Johnson and Garcia LLC,Construction,West James,MT,Trade Show,Ms. Brittany Lee,2026-02-05T22:45:31.000+0000,2026-07-22T06:15:00Z
00100040w7m1zgo7fn,Jackson-Osborn Ltd.,Healthcare,North Robert,WI,Web,Samuel Rocha,2026-07-21T20:15:11.000+0000,2026-07-22T06:15:00Z
00100041w3lo8g30ol,White Group LLC,Education,Bradleychester,SD,Web,Samuel Wall,2025-05-19T06:05:31.000+0000,2026-07-22T06:15:00Z
00100042zcwr9fq7wg,Key Gomez and Harmon Holdings,Healthcare,Brandonbury,OH,Cold Call,Wendy Chung,2025-10-20T14:27:17.000+0000,2026-07-22T06:15:00Z
00100043pfodhnfbgd,Sterling Fabrication LLC,Manufacturing,Akron,OH,Web,Frank Campbell,2025-03-15T19:28:42.000+0000,2026-07-22T06:15:00Z
001000441a1wthpzfm,Sterling Fabrication Group & Sons,Manufacturing,Akron,OH,Web,Megan Jones,2026-05-08T19:57:17.000+0000,2026-07-22T06:15:00Z
